filename;start_time;end_time;orbit
C03/2022/01/S5p_SO2-COBRA_22163.nc;2022-01-22 13:48:39.841;2022-01-22 13:54:55.313;22163
C03/2022/01/S5p_SO2-COBRA_22164.nc;2022-01-22 15:30:09.866;2022-01-22 15:34:16.821;22164
C03/2022/01/S5p_SO2-COBRA_22175.nc;2022-01-23 10:06:57.899;2022-01-23 10:12:54.891;22175
C03/2022/01/S5p_SO2-COBRA_22176.nc;2022-01-23 11:48:08.604;2022-01-23 11:54:28.276;22176
C03/2022/01/S5p_SO2-COBRA_22177.nc;2022-01-23 13:29:38.390;2022-01-23 13:35:49.661;22177
C03/2022/01/S5p_SO2-COBRA_22178.nc;2022-01-23 15:11:07.575;2022-01-23 15:15:38.889;22178
C03/2022/01/S5p_SO2-COBRA_22189.nc;2022-01-24 09:48:17.687;2022-01-24 09:53:52.840;22189
C03/2022/01/S5p_SO2-COBRA_22190.nc;2022-01-24 11:29:06.793;2022-01-24 11:35:30.665;22190
C03/2022/01/S5p_SO2-COBRA_22191.nc;2022-01-24 13:10:36.458;2022-01-24 13:17:00.330;22191
C03/2022/01/S5p_SO2-COBRA_22192.nc;2022-01-24 14:52:06.484;2022-01-24 14:57:02.997;22192
C03/2022/01/S5p_SO2-COBRA_22203.nc;2022-01-25 09:29:44.193;2022-01-25 09:34:55.826;22203
C03/2022/01/S5p_SO2-COBRA_22204.nc;2022-01-25 11:10:04.860;2022-01-25 11:16:32.931;22204
C03/2022/01/S5p_SO2-COBRA_22205.nc;2022-01-25 12:51:35.125;2022-01-25 12:58:03.196;22205
C03/2022/01/S5p_SO2-COBRA_22206.nc;2022-01-25 14:33:04.310;2022-01-25 14:38:33.583;22206
C03/2022/01/S5p_SO2-COBRA_22217.nc;2022-01-26 09:11:29.658;2022-01-26 09:16:00.132;22217
C03/2022/01/S5p_SO2-COBRA_22218.nc;2022-01-26 10:51:03.285;2022-01-26 10:57:35.556;22218
C03/2022/01/S5p_SO2-COBRA_22219.nc;2022-01-26 12:32:32.830;2022-01-26 12:39:05.941;22219
C03/2022/01/S5p_SO2-COBRA_22220.nc;2022-01-26 14:14:04.295;2022-01-26 14:20:02.127;22220
C03/2022/01/S5p_SO2-COBRA_22221.nc;2022-01-26 15:55:32.640;2022-01-26 15:59:23.635;22221
C03/2022/01/S5p_SO2-COBRA_22231.nc;2022-01-27 08:55:34.158;2022-01-27 08:56:22.037;22231
C03/2022/01/S5p_SO2-COBRA_22232.nc;2022-01-27 10:32:05.149;2022-01-27 10:38:38.260;22232
C03/2022/01/S5p_SO2-COBRA_22233.nc;2022-01-27 12:13:31.334;2022-01-27 12:20:08.645;22233
C03/2022/01/S5p_SO2-COBRA_22234.nc;2022-01-27 13:55:01.479;2022-01-27 14:01:30.390;22234
C03/2022/01/S5p_SO2-COBRA_22235.nc;2022-01-27 15:36:30.904;2022-01-27 15:40:53.818;22235
C03/2022/01/S5p_SO2-COBRA_22246.nc;2022-01-28 10:13:14.130;2022-01-28 10:19:41.361;22246
C03/2022/01/S5p_SO2-COBRA_22247.nc;2022-01-28 11:54:29.875;2022-01-28 12:01:08.866;22247
C03/2022/01/S5p_SO2-COBRA_22248.nc;2022-01-28 13:35:59.659;2022-01-28 13:42:41.170;22248
C03/2022/01/S5p_SO2-COBRA_22249.nc;2022-01-28 15:17:29.204;2022-01-28 15:22:18.998;22249
C03/2022/01/S5p_SO2-COBRA_22260.nc;2022-01-29 09:54:31.419;2022-01-29 10:00:40.171;22260
C03/2022/01/S5p_SO2-COBRA_22261.nc;2022-01-29 11:35:28.085;2022-01-29 11:41:39.356;22261
C03/2022/01/S5p_SO2-COBRA_22262.nc;2022-01-29 13:16:58.109;2022-01-29 13:23:44.660;22262
C03/2022/01/S5p_SO2-COBRA_22263.nc;2022-01-29 14:58:28.134;2022-01-29 15:03:38.927;22263
